    phi1         Phi        phi2        area       omega           a           b
 2.35458      86.573     64.9152 2.27363e+06     129.059     980.636     738.008
 26.8988     69.1469     100.365      323959       110.8     463.856     222.309
 25.3023     62.4794      69.689      781163      80.901     729.639     340.788
 24.6444     133.004     83.9419      219282     165.414     277.272     251.737
 47.4643     32.0397     53.3419 1.43327e+06     70.5502     936.262     487.284
 12.2404     85.8248     85.2422      649489     123.032     544.755     379.508
 174.255     61.2727     128.948 1.22073e+06     57.3707     691.942     561.565
 12.8686     151.482     100.475      289438     148.881     408.967     225.277
 137.814     22.8854     151.685      679394     91.9158     590.706     366.101
 78.2329     86.3518     48.6057 1.46451e+06     159.063     827.413     563.404
 47.4171     14.5366     57.3311      719081     122.724     673.484     339.861
 146.137     97.3538     169.952     77751.6     114.084     202.933     121.957
 178.608     134.217     99.9514 6.38838e+06     80.1876     1840.04     1105.13
 17.1516     88.0158     100.092     82245.3     23.7952     186.575     140.316
 139.723     120.792     76.7043      186962     110.457     329.938     180.373
 15.9915     66.6368     93.6929      168557     120.025     266.867     201.049
 73.6889     20.9816     179.482      404966      81.197     551.472     233.746
 26.5235     119.356     71.0276 8.29958e+06     114.941     2761.44     956.689
 6.60411     41.3956     71.9029 1.05606e+06     81.1994     1002.22     335.409
 51.5937     93.0593     89.6181      910350     147.462     638.955     453.512
 10.6585     97.8357     95.8576      353791     128.267     349.377     322.331
 149.527     122.929     74.6256      433223     127.273     776.517     177.587
 135.143     136.995     74.8907      180615     101.063     341.488     168.356
 12.5615     52.9591     76.8318 1.42906e+06     104.287     807.751     563.149
 78.7057     135.845     147.952 1.42027e+06      137.42     966.845     467.589
 14.1661     72.7512     80.9543      161708      87.098     282.883      181.96
 178.851     152.778     98.9681 5.72472e+06     105.814     1740.71     1046.83
 31.8898        47.6      57.142      267213      54.194     317.331     268.037
 8.64642     73.5631     88.6925      585723     102.089     639.172     291.692
 149.597     39.6178     138.162      379255      50.127     495.774     243.499
 5.76833      66.641     85.9254      215321     98.4712     365.833      187.35
 172.917     96.7857     89.9006      481681     63.4171      459.09     333.973
 151.314     118.215     75.1974      344571     80.2433     406.557     269.779
 93.5688     127.035     24.9823      524082     116.598      704.05     236.944
 86.8739     29.0298     4.65495      473632     111.211     488.731     308.475
 167.194     135.255     100.786  8.2187e+06     79.5197     1990.43     1314.34
 179.382     72.6934     104.643      539881     103.792     523.092     328.526
 33.5875      138.57     85.8504 3.51564e+06      130.72     1778.88     629.083
 147.211     126.824     87.7906 2.28329e+06     118.861     922.599     787.769
 165.624     14.3275      114.81      589249     130.048     616.612     304.184
 3.24371     108.768     78.0789      449017     52.6073     455.276     313.934
  169.83     23.0969     121.551      447313     92.5818      580.55     245.257
 120.046     125.266     51.8573 1.41408e+06      103.09     821.293     548.056
 6.31751     63.0509     51.7048      738911     94.6269     569.275     413.162
 29.6679     80.1451     65.0629 2.96588e+06     124.257     1143.64     825.494
 16.1086     156.678     85.3393      422441     93.4183     482.684     278.582
 23.5805     54.8035     68.0599 1.75151e+06     125.647     1093.27      509.96
 4.95362     126.177     74.9325      431616     107.485      658.01     208.792
  2.5466     46.4988     96.3248      176895     102.512     351.066     160.389
 43.6186     92.0599     69.7721      112842     107.655     306.189     117.309
 21.6675     69.5254     84.1203      242109      141.91     333.268     231.243
 143.907     175.745     47.3455     80535.9     93.5546     209.143     122.574
 55.2461     21.1954     46.8303 3.68812e+06     115.532     1521.85     771.405
 4.96772     139.827     85.6305 1.10638e+06     103.643     969.138     363.386
  3.1037     67.0928     96.4705      307510     111.955     384.447     254.608
 162.792      98.985     77.3078      165540     129.156     244.541     215.477
 27.4796     135.984      104.96      469604     88.7242     513.954     290.842
 3.79507     24.7902     76.4863      274856     179.326     368.799     237.228
 57.4253     88.5142     56.7006      249562     150.706     355.129     223.688
 169.897     40.9014     97.6753 3.11776e+06     90.6211     1356.13     731.799
 17.7271     85.6193     77.9931 2.52338e+06     121.124     1223.85     656.306
 13.9126     68.2418     84.0279     67618.9     40.4587     194.706     110.545
  153.68     130.421      92.003      116195     127.414     217.947     169.703
 156.173     37.6371     115.227      311644     104.964     430.366       230.5
 6.54781     113.499     77.8331      309342     103.264     515.786     190.906
  179.35     133.709     88.1647      277016     77.8079     342.446     257.492
